source_id,section,unit,subsection,source_order,word_raw,word,flags
21,必考词,1,词汇预览,21,journey,journey,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
22,必考词,1,词汇预览,22,pace,pace,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
23,必考词,1,词汇预览,23,object,object,double_column_ocr_review_needed
24,必考词,1,词汇预览,24,obtain,obtain,double_column_ocr_review_needed
25,必考词,1,词汇预览,25,☐ largely,largely,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
26,必考词,1,词汇预览,26,major,major,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
27,必考词,1,词汇预览,27,qualitative,qualitative,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
28,必考词,1,词汇预览,28,panel,panel,double_column_ocr_review_needed
29,必考词,1,词汇预览,29,objective,objective,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
30,必考词,1,词汇预览,30,obvious,obvious,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
31,必考词,1,词汇预览,31,□judge,judge,marked_in_preview;double_column_ocr_review_needed
32,必考词,1,词汇预览,32,☐ lateral,lateral,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
33,必考词,1,词汇预览,33,majority,majority,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
34,必考词,1,词汇预览,34,safeguard,safeguard,double_column_ocr_review_needed
35,必考词,1,词汇预览,35,□ judg(e) ment,judg(e)ment,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
36,必考词,1,词汇预览,36,☐ latter,latter,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
37,必考词,1,词汇预览,37,panorama,panorama,double_column_ocr_review_needed
38,必考词,1,词汇预览,38,objection,objection,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
39,必考词,1,词汇预览,39,ideal,ideal,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
40,必考词,1,词汇预览,40,make,make,double_column_ocr_review_needed
41,必考词,1,词汇预览,41,safety,safety,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
42,必考词,1,词汇预览,42,judicial,judicial,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
43,必考词,1,词汇预览,43,provide,provide,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
44,必考词,1,词汇预览,44,prove,prove,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
45,必考词,1,词汇预览,45,obligation,obligation,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
46,必考词,1,词汇预览,46,ideology,ideology,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
47,必考词,1,词汇预览,47,law,law,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
48,必考词,1,词汇预览,48,theme,theme,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
49,必考词,1,词汇预览,49,savage,savage,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
50,必考词,1,词汇预览,50,oblige,oblige,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
51,必考词,1,词汇预览,51,identical,identical,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
52,必考词,1,词汇预览,52,jury,jury,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
53,必考词,1,词汇预览,53,lawsuit,lawsuit,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
54,必考词,1,词汇预览,54,theory,theory,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
55,必考词,1,词汇预览,55,save,save,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
56,必考词,1,词汇预览,56,saving,saving,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
57,必考词,1,词汇预览,57,provided,provided,double_column_ocr_review_needed
58,必考词,1,词汇预览,58,obscure,obscure,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
59,必考词,1,词汇预览,59,identification,identification,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
60,必考词,1,词汇预览,60,jurisdiction,jurisdiction,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
61,必考词,1,词汇预览,61,magnitude,magnitude,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
62,必考词,1,词汇预览,62,theoretical,theoretical,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
63,必考词,1,词汇预览,63,observation,observation,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
64,必考词,1,词汇预览,64,identify,identify,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
65,必考词,1,词汇预览,65,justice,justice,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
66,必考词,1,词汇预览,66,magnify,magnify,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
67,必考词,1,词汇预览,67,therapy,therapy,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
68,必考词,1,词汇预览,68,☐ scale,scale,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
69,必考词,2,词汇预览,1,mediate,mediate,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
70,必考词,2,词汇预览,2,absence,absence,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
71,必考词,2,词汇预览,3,bargain,bargain,double_column_ocr_review_needed
72,必考词,2,词汇预览,4,☐ casual,casual,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
73,必考词,2,词汇预览,5,celebrity,celebrity,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
74,必考词,2,词汇预览,6,☐deduce,deduce,marked_in_preview;double_column_ocr_review_needed
75,必考词,2,词汇预览,7,☐ dedicate,dedicate,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
76,必考词,2,词汇预览,8,☐situate,situate,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
77,必考词,2,词汇预览,9,meditation,meditation,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
78,必考词,2,词汇预览,10,absent,absent,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
79,必考词,2,词汇预览,11,capable,capable,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
80,必考词,2,词汇预览,12,casualty,casualty,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
81,必考词,2,词汇预览,13,ceremony,ceremony,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
82,必考词,2,词汇预览,14,☐ situation,situation,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
83,必考词,2,词汇预览,15,☐ medium,medium,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
84,必考词,2,词汇预览,16,abroad,abroad,double_column_ocr_review_needed
85,必考词,2,词汇预览,17,capacity,capacity,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
86,必考词,2,词汇预览,18,catch,catch,double_column_ocr_review_needed
87,必考词,2,词汇预览,19,☐ certain,certain,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
88,必考词,2,词汇预览,20,☐ deduct,deduct,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
89,必考词,2,词汇预览,21,☐ category,category,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
90,必考词,2,词汇预览,22,☐ certainty,certainty,marked_in_preview;double_column_ocr_review_needed
91,必考词,2,词汇预览,23,☐ skeleton,skeleton,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
92,必考词,2,词汇预览,24,☐ media,media,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
93,必考词,2,词汇预览,25,absolute,absolute,double_column_ocr_review_needed
94,必考词,2,词汇预览,26,capital,capital,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
95,必考词,2,词汇预览,27,fashion,fashion,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
96,必考词,2,词汇预览,28,☐ skeptical,skeptical,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
97,必考词,2,词汇预览,29,elaborate,elaborate,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
98,必考词,2,词汇预览,30,☐ absorb,absorb,marked_in_preview;double_column_ocr_review_needed
99,必考词,2,词汇预览,31,captive,captive,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
100,必考词,2,词汇预览,32,☐ cater,cater,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
101,必考词,2,词汇预览,33,certificate,certificate,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
102,必考词,2,词汇预览,34,fashionable,fashionable,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
103,必考词,2,词汇预览,35,sketch,sketch,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
104,必考词,2,词汇预览,36,elegant,elegant,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
105,必考词,2,词汇预览,37,abstract,abstract,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
106,必考词,2,词汇预览,38,capture,capture,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
107,必考词,2,词汇预览,39,cause,cause,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
108,必考词,2,词汇预览,40,certify,certify,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
109,必考词,2,词汇预览,41,□ favo(u) r,favo(u)r,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
110,必考词,2,词汇预览,42,☐ element,element,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
111,必考词,2,词汇预览,43,ban,ban,double_column_ocr_review_needed
112,必考词,2,词汇预览,44,career,career,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
113,必考词,2,词汇预览,45,☐ caution,caution,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
114,必考词,2,词汇预览,46,decline,decline,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
115,必考词,2,词汇预览,47,☐ favo(u) rable,favo(u)rable,marked_in_preview;entry_not_found;double_column_ocr_review_needed
116,必考词,2,词汇预览,48,☐ elementary,elementary,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
117,必考词,2,词汇预览,49,bar,bar,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
118,必考词,2,词汇预览,50,careful,careful,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
119,必考词,2,词汇预览,51,☐ cautious,cautious,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
120,必考词,2,词汇预览,52,decrease,decrease,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
121,必考词,2,词汇预览,53,☐ favo(u) rite,favo(u)rite,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
122,必考词,2,词汇预览,54,☐ eliminate,eliminate,marked_in_preview;double_column_ocr_review_needed
123,必考词,2,词汇预览,55,bare,bare,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
124,必考词,2,词汇预览,56,case,case,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
125,必考词,2,词汇预览,57,cease,cease,double_column_ocr_review_needed
126,必考词,2,词汇预览,58,decree,decree,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
127,必考词,2,词汇预览,59,sit,sit,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
128,必考词,2,词汇预览,60,abolish,abolish,double_column_ocr_review_needed
129,必考词,2,词汇预览,61,barely,barely,double_column_ocr_review_needed
130,必考词,2,词汇预览,62,cast,cast,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
131,必考词,2,词汇预览,63,☐ celebrate,celebrate,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
132,必考词,2,词汇预览,64,deem,deem,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
133,必考词,2,词汇预览,65,☐ site,site,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
134,必考词,3,词汇预览,1,embrace,embrace,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
135,必考词,3,词汇预览,2,☐threat,threat,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
136,必考词,3,词汇预览,3,☐ withdraw,withdraw,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
137,必考词,3,词汇预览,4,☐ acceptance,acceptance,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
138,必考词,3,词汇预览,5,☐ benefit,benefit,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
139,必考词,3,词汇预览,6,☐ definite,definite,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
140,必考词,3,词汇预览,7,☐fight,fight,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
141,必考词,3,词汇预览,8,☐ embed,embed,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
142,必考词,3,词汇预览,9,☐ threaten,threaten,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
143,必考词,3,词汇预览,10,witness,witness,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
144,必考词,3,词汇预览,11,access,access,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
145,必考词,3,词汇预览,12,benevolent,benevolent,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
146,必考词,3,词汇预览,13,definition,definition,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
147,必考词,3,词汇预览,14,☐ figure,figure,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
148,必考词,3,词汇预览,15,embody,embody,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
149,必考词,3,词汇预览,16,update,update,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
150,必考词,3,词汇预览,17,inaugurate,inaugurate,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
151,必考词,3,词汇预览,18,accessory,accessory,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
152,必考词,3,词汇预览,19,☐ benign,benign,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
153,必考词,3,词汇预览,20,☐ defy,defy,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
154,必考词,3,词汇预览,21,☐ finance,finance,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
155,必考词,3,词汇预览,22,embryo,embryo,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
156,必考词,3,词汇预览,23,upgrade,upgrade,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
157,必考词,3,词汇预览,24,incentive,incentive,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
158,必考词,3,词汇预览,25,begin,begin,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
159,必考词,3,词汇预览,26,challenge,challenge,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
160,必考词,3,词汇预览,27,degree,degree,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
161,必考词,3,词汇预览,28,chance,chance,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
162,必考词,3,词汇预览,29,☐ financial,financial,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
163,必考词,3,词汇预览,30,☐ elicit,elicit,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
164,必考词,3,词汇预览,31,☐ uphold,uphold,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
165,必考词,3,词汇预览,32,☐ incidence,incidence,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
166,必考词,3,词汇预览,33,☐ beginning,beginning,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
167,必考词,3,词汇预览,34,☐ delay,delay,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
168,必考词,3,词汇预览,35,☐ finding,finding,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
169,必考词,3,词汇预览,36,☐ elite,elite,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
170,必考词,3,词汇预览,37,☐ upset,upset,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
171,必考词,3,词汇预览,38,incident,incident,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
172,必考词,3,词汇预览,39,☐ behalf,behalf,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
173,必考词,3,词汇预览,40,☐ change,change,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
174,必考词,3,词汇预览,41,☐ deliberate,deliberate,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
175,必考词,3,词汇预览,42,☐ finite,finite,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
176,必考词,3,词汇预览,43,elsewhere,elsewhere,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
177,必考词,3,词汇预览,44,☐ up-to-date,up-to-date,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
178,必考词,3,词汇预览,45,incidentally,incidentally,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
179,必考词,3,词汇预览,46,☐ behave,behave,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
180,必考词,3,词汇预览,47,☐ channel,channel,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
181,必考词,3,词汇预览,48,☐ delicate,delicate,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
182,必考词,3,词汇预览,49,☐first,first,marked_in_preview;double_column_ocr_review_needed
183,必考词,3,词汇预览,50,☐ firm,firm,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
184,必考词,3,词汇预览,51,thirst,thirst,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
185,必考词,3,词汇预览,52,ventilate,ventilate,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
186,必考词,3,词汇预览,53,incline,incline,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
187,必考词,3,词汇预览,54,☐ behavio(u)r,behavio(u)r,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
188,必考词,3,词汇预览,55,character,character,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
189,必考词,3,词汇预览,56,deliver,deliver,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
190,必考词,3,词汇预览,57,thorough,thorough,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
191,必考词,3,词汇预览,58,venture,venture,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
192,必考词,3,词汇预览,59,academic,academic,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
193,必考词,3,词汇预览,60,believe,believe,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
194,必考词,3,词汇预览,61,belief,belief,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
195,必考词,3,词汇预览,62,☐ characterise,characterise,marked_in_preview;double_column_ocr_review_needed
196,必考词,3,词汇预览,63,☐ delivery,delivery,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
197,必考词,3,词汇预览,64,☐ fit,fit,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
198,必考词,3,词汇预览,65,☐ though,though,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
199,必考词,3,词汇预览,66,widespread,widespread,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
200,必考词,3,词汇预览,67,academy,academy,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
201,必考词,3,词汇预览,68,defend,defend,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
202,必考词,3,词汇预览,69,☐ characteristic,characteristic,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
203,必考词,3,词汇预览,70,fiction,fiction,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
204,必考词,3,词汇预览,71,global,global,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
205,必考词,3,词汇预览,72,☐ thought,thought,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
206,必考词,3,词汇预览,73,☐ win,win,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
207,必考词,3,词汇预览,74,☐ accelerate,accelerate,marked_in_preview;double_column_ocr_review_needed
208,必考词,3,词汇预览,75,belong,belong,double_column_ocr_review_needed
209,必考词,3,词汇预览,76,☐ field,field,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
210,必考词,3,词汇预览,77,☐ globe,globe,marked_in_preview;double_column_ocr_review_needed
211,必考词,3,词汇预览,78,□ thoughtful,thoughtful,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
212,必考词,3,词汇预览,79,☐ wit,wit,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
213,必考词,3,词汇预览,80,☐ accept,accept,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
214,必考词,3,词汇预览,81,beneficial,beneficial,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
215,必考词,3,词汇预览,82,define,define,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
216,必考词,3,词汇预览,83,fierce,fierce,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
217,必考词,3,词汇预览,84,Im'breIs,Im'breIs,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
218,必考词,4,词汇预览,1,abandon,abandon,double_column_ocr_review_needed
219,必考词,4,词汇预览,2,basis,basis,double_column_ocr_review_needed
220,必考词,4,词汇预览,3,deal,deal,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
221,必考词,4,词汇预览,4,economics,economics,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
222,必考词,4,词汇预览,5,☐fabricate,fabricate,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
223,必考词,4,词汇预览,6,☐ fan,fan,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
224,必考词,4,词汇预览,7,☐ habitat,habitat,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
225,必考词,4,词汇预览,8,☐ abide,abide,marked_in_preview;double_column_ocr_review_needed
226,必考词,4,词汇预览,9,calculate,calculate,double_column_ocr_review_needed
227,必考词,4,词汇预览,10,☐ dealer,dealer,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
228,必考词,4,词汇预览,11,economy,economy,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
229,必考词,4,词汇预览,12,face,face,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
230,必考词,4,词汇预览,13,☐ fancy,fancy,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
231,必考词,4,词汇预览,14,☐ hamper,hamper,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
232,必考词,4,词汇预览,15,ability,ability,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
233,必考词,4,词汇预览,16,☐ call,call,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
234,必考词,4,词汇预览,17,☐ debate,debate,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
235,必考词,4,词汇预览,18,☐ educate,educate,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
236,必考词,4,词汇预览,19,facet,facet,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
237,必考词,4,词汇预览,20,☐ fascinate,fascinate,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
238,必考词,4,词汇预览,21,☐ handicap,handicap,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
239,必考词,4,词汇预览,22,☐ able,able,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
240,必考词,4,词汇预览,23,☐ calm,calm,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
241,必考词,4,词汇预览,24,decade,decade,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
242,必考词,4,词汇预览,25,☐ education,education,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
243,必考词,4,词汇预览,26,☐factor,factor,marked_in_preview;double_column_ocr_review_needed
244,必考词,4,词汇预览,27,gain,gain,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
245,必考词,4,词汇预览,28,shield,shield,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
246,必考词,4,词汇预览,29,☐ abnormal,abnormal,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
247,必考词,4,词汇预览,30,☐ campaign,campaign,marked_in_preview;double_column_ocr_review_needed
248,必考词,4,词汇预览,31,decide,decide,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
249,必考词,4,词汇预览,32,☐ effect,effect,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
250,必考词,4,词汇预览,33,fade,fade,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
251,必考词,4,词汇预览,34,☐ gamble,gamble,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
252,必考词,4,词汇预览,35,☐ shift,shift,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
253,必考词,4,词汇预览,36,background,background,double_column_ocr_review_needed
254,必考词,4,词汇预览,37,☐ candidate,candidate,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
255,必考词,4,词汇预览,38,☐decision,decision,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
256,必考词,4,词汇预览,39,effective,effective,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
257,必考词,4,词汇预览,40,☐ fail,fail,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
